group,metric,n,mean,median,SD,IQR,min,max
caregiver,mean_agency_score,50,0.5988,0.5917,0.0498,0.068,0.4826,0.7188
caregiver,passive_ratio,50,0.1138,0.1037,0.065,0.0988,0.0185,0.2581
caregiver,active_ratio,50,0.8862,0.8963,0.065,0.0988,0.7419,0.9815
caregiver,first_person_count,50,30.66,28.5,13.2828,15.25,5.0,67.0
caregiver,agency_verb_count,50,7.8,7.0,3.8598,5.0,2.0,23.0
caregiver,mean_compound,50,0.0314,0.0258,0.0932,0.1142,-0.1838,0.2682
caregiver,mean_intensity,50,0.2688,0.269,0.0516,0.0739,0.1541,0.3618
caregiver,mean_negative,50,0.0695,0.0692,0.0241,0.0318,0.0302,0.1177
caregiver,mean_positive,50,0.0801,0.077,0.0262,0.0324,0.0291,0.1463
caregiver,affective_density,50,0.0677,0.0704,0.0408,0.0468,0.0,0.1954
patient,mean_agency_score,51,0.6085,0.6221,0.0601,0.0826,0.478,0.7127
patient,passive_ratio,51,0.2053,0.2,0.0916,0.1312,0.0603,0.4444
patient,active_ratio,51,0.7947,0.8,0.0916,0.1312,0.5556,0.9397
patient,first_person_count,51,39.5882,41.0,14.5632,15.5,5.0,80.0
patient,agency_verb_count,51,6.7843,7.0,2.7299,4.0,2.0,15.0
patient,mean_compound,51,-0.0207,-0.034,0.0933,0.1242,-0.177,0.2308
patient,mean_intensity,51,0.3189,0.302,0.0613,0.0975,0.211,0.4816
patient,mean_negative,51,0.0871,0.0857,0.0241,0.0264,0.0277,0.139
patient,mean_positive,51,0.078,0.0766,0.0242,0.0289,0.031,0.1563
patient,affective_density,51,0.1044,0.0877,0.0708,0.0928,0.0161,0.4138
