group,metric,n,mean,median,SD,IQR,min,max
active,compound,5878,0.006,0.0,0.3977,0.5232,-0.9883,0.9715
active,intensity,5878,0.2846,0.2732,0.2778,0.4939,0.0,0.9883
active,negative,5878,0.08,0.0,0.1245,0.14,0.0,0.82
active,positive,5878,0.0802,0.0,0.1216,0.141,0.0,0.839
active,affective_words,5878,0.0851,0.0,0.2898,0.0,0.0,3.0
active,agency_score,5878,0.6725,0.8,0.1653,0.3,0.5,1.0
passive,compound,1022,-0.024,0.0,0.4246,0.5914,-0.9584,0.9565
passive,intensity,1022,0.3142,0.296,0.2863,0.5267,0.0,0.9584
passive,negative,1022,0.0781,0.0,0.1061,0.137,0.0,0.636
passive,positive,1022,0.07,0.0,0.0957,0.1258,0.0,0.522
passive,affective_words,1022,0.0793,0.0,0.2878,0.0,0.0,2.0
passive,agency_score,1022,0.2276,0.3,0.1787,0.3,0.0,0.7
